accuracy,f1,f1_std,auc,train_time,n_train,n_test,n_iter,dataset,model_family,model_name,imbalanced
0.9518518518518517,0.6333554165133112,0.19185454134831023,0.8014144271570014,0.025753360000089744,252,108,5,libras,nonlinear,tree_base,True
0.9388888888888889,0.5964145658263306,0.15546677763423078,0.8210749646393211,0.08992166000243743,252,108,5,libras,nonlinear,tree_adasyn,True
0.9685185185185186,0.6589588189588189,0.17846138555118424,0.9796322489391797,0.7451942399988184,252,108,5,libras,nonlinear,rf_base,True
0.9796296296296296,0.8171911421911423,0.08801260655824798,0.967043847241867,0.5065117200021632,252,108,5,libras,nonlinear,rf_adasyn,True
0.9796296296296296,0.7955244755244756,0.16250099214629582,0.9162659123055162,0.9392347399989376,252,108,5,libras,nonlinear,ada_base,True
0.9666666666666666,0.7510101010101009,0.06158717649098574,0.8973125884016973,1.7763059200049611,252,108,5,libras,nonlinear,ada_adasyn,True
0.9722222222222223,0.7569963369963371,0.16009580649423924,0.9111739745403111,1.8415861600020436,252,108,5,libras,nonlinear,gb_base,True
0.9685185185185186,0.7506375976964212,0.04678084238982059,0.9349363507779349,1.7292044000001625,252,108,5,libras,nonlinear,gb_adasyn,True
0.9476923076923077,0.913846153846154,0.037546814959587026,0.9344444444444443,0.0015838800027268007,150,65,5,newthyroid,nonlinear,tree_base,False
0.96,0.9316701316701318,0.02395417819096974,0.9944444444444445,0.44902645999973173,150,65,5,newthyroid,nonlinear,rf_base,False
0.9446153846153846,0.9043415885521149,0.029385935107278993,0.9888888888888889,0.48020606000209226,150,65,5,newthyroid,nonlinear,ada_base,False
0.9507692307692308,0.9145979988085251,0.023557838185294753,0.994,0.40153768000309353,150,65,5,newthyroid,nonlinear,gb_base,False
0.966747868453106,0.8359838803172137,0.010225279099603494,0.9071731440201589,0.10115898000367451,3831,1642,5,pageblocks,nonlinear,tree_base,True
0.9613885505481121,0.825415249283866,0.013725223458122009,0.9320548232861665,0.196371400001226,3831,1642,5,pageblocks,nonlinear,tree_adasyn,True
0.9777101096224117,0.8887838894527083,0.011151848316676741,0.99098460618983,0.6966827199968975,3831,1642,5,pageblocks,nonlinear,rf_base,True
0.9713763702801461,0.8700098510942935,0.01712408535295546,0.9911958066808813,0.8751829199958593,3831,1642,5,pageblocks,nonlinear,rf_adasyn,True
0.9630937880633373,0.8117620584829434,0.01730066628435181,0.9842278057763132,1.6511220800020965,3831,1642,5,pageblocks,nonlinear,ada_base,True
0.9445797807551767,0.7784975782406007,0.019131344974151702,0.9855248917748918,1.7385917000006885,3831,1642,5,pageblocks,nonlinear,ada_adasyn,True
0.97442143727162,0.8714336669843601,0.01273273091653156,0.9912107482070169,0.9740461400011554,3831,1642,5,pageblocks,nonlinear,gb_base,True
0.9622411693057249,0.8394597741560318,0.008161757360093152,0.9906090489112878,6.4207191200024685,3831,1642,5,pageblocks,nonlinear,gb_adasyn,True
0.6770562770562771,0.541823287243272,0.025194400165867912,0.6468395061728394,0.014026980000198818,537,231,5,pima,nonlinear,tree_base,False
0.7393939393939394,0.595694140933799,0.03976227533355361,0.8033333333333333,0.5797083799989196,537,231,5,pima,nonlinear,rf_base,False
